ID,Reset,dontStopAppOnReset,Epic,Feature,Story,Title,Description,Step,ExpectedResults
TEST_0004,Reset,Stop,インストール関連、初期起動ダイアログ,利用規約ダイアログ - 初回起動,,初回起動時の利用規約ダイアログ表示確認,,"1. アプリを起動する
2. 利用規約ダイアログを確認する","・利用規約ダイアログは表示する
・利用規約ダイアログは操作可能"
TEST_0005,Reset,Stop,インストール関連、初期起動ダイアログ,利用規約ダイアログ - 初回起動以降,,初回起動以降の利用規約ダイアログ非表示確認,,"1. アプリを起動する
2. 利用規約ダイアログを確認する
3. 同意ボタンを押す
4. ディスクレーマーダイアログを確認する
5. 同意ボタンを押す
6. アプリを再起動する",初期起動以外の場合、利用規約ダイアログは表示しない
TEST_0006,Reset,Stop,インストール関連、初期起動ダイアログ,利用規約ダイアログ - 同意しない,,利用規約ダイアログで「同意しない」操作確認,,"1. アプリを起動する
2. 利用規約ダイアログを確認する
3. 同意しないボタンを押す
4. アプリを再起動する","Mediahubは閉じる。
再起動の場合、利用規約ダイアログは表示する"
TEST_0007,Reset,Stop,インストール関連、初期起動ダイアログ,ディスクレーマーダイアログ - 初回起動,,初回起動時のディスクレーマーダイアログ表示確認,,"1. アプリを起動する
2. 利用規約ダイアログを確認する
3. 同意ボタンを押す
4. ディスクレーマーダイアログを確認する","・ディスクレーマーダイアログは表示する
・ディスクレーマーダイアログは操作可能"
TEST_0008,Reset,Stop,インストール関連、初期起動ダイアログ,ディスクレーマーダイアログ - 初回起動以降,,初回起動以降のディスクレーマーダイアログ非表示確認,,"1. アプリを起動する
2. 利用規約ダイアログを確認する
3. 同意ボタンを押す
4. ディスクレーマーダイアログを確認する
5. 同意ボタンを押す
6. アプリを再起動する",初期起動以外の場合、ディスクレーマーダイアログは表示しない
TEST_0012,Reset,Stop,ホームページ,コンテンツ情報表示,,ホームページでのコンテンツ情報（名称、画像、プロバイダー）表示確認,,"1. アプリを起動する
2. 「ホーム」タブをタップする",コンテンツ名・背景画像・コンテンツプロバイダーが表示されていること
TEST_0014,Reset,Stop,ホームページ,トップメニュー - スクロール,,トップメニューのスクロール動作確認,,"1. アプリを起動する
2. 「ホーム」タブをタップする
3. トップメニューを左から右までスクロールする
4. トップメニューを右から左までスクロールする","・トップメニューはスクロールできる
・各タブの文字表示は正しく表示する"
TEST_0015,Reset,Stop,ホームページ,トップメニュー - タブ切り替え,,トップメニューのタブ切り替え動作確認,,"1. アプリを起動する
2. 「ホーム」タブをタップする
3. トップメニューに表示されるすべてのタブボタンを順番にタップする",Mediahubはタップされたタブページを表示する
TEST_0016,Reset,Stop,ホームページ,検索ボタン,,トップメニューの検索ボタン動作確認,,"1. アプリを起動する
2. 「ホーム」タブをタップする
3. トップメニューに表示される検索ボタンをタップする",Mediahubは検索ページを表示する
TEST_0017,Reset,Stop,ホームページ,設定ボタン,,トップメニューの設定ボタン動作確認,,"1. アプリを起動する
2. 「ホーム」タブをタップする
3. トップメニューに表示される設定ボタンをタップする",Mediahubは設定ページを表示する
TEST_0018,Reset,Stop,ホームページ,コンテンツ情報 - 背景画像,,ホームページでのコンテンツの背景画像表示確認,,"1. アプリを起動する
2. 「ホーム」タブをタップする",コンテンツの背景画像は表示する
TEST_0019,Reset,Stop,ホームページ,コンテンツ情報 - コンテンツ名＆説明文,,ホームページでのコンテンツ名と説明文の表示確認,,"1. アプリを起動する
2. 「ホーム」タブをタップする",コンテンツ名と説明文は表示する
TEST_0020,Reset,Stop,ホームページ,コンテンツ情報 - コンテンツプロバイダー,,ホームページでのコンテンツプロバイダーアイコン表示確認,,"1. アプリを起動する
2. 「ホーム」タブをタップする",コンテンツプロバイダーアイコンは表示する
TEST_0021,Reset,Stop,ホームページ,コンテンツ情報 - コンテンツプロバイダー遷移,,コンテンツプロバイダーアイコンタップ時のサイト遷移確認,,"1. アプリを起動する
2. 「ホーム」タブをタップする
3. コンテンツプロバイダーアイコンをタップする",Mediahubはタップしたコンテンツプロバイダーサイトへ遷移する
TEST_0022,Reset,Stop,ホームページ,コンテンツ情報 - お気に入り追加,,ホームページからのお気に入り追加確認,,"1. アプリを起動する
2. 「ホーム」タブをタップする
3. お気に入りボタンをタップする
4. 「お気に入り」タブをタップする","・コンテンツはお気に入りリストに追加される
・追加されたコンテンツはお気に入りページで確認できる"
TEST_0023,Reset,Stop,ホームページ,コンテンツ情報 - お気に入り削除,,ホームページからのお気に入り削除確認,,"1. アプリを起動する
2. 「ホーム」タブをタップする
3. お気に入りボタンをタップする
4. 「お気に入り」タブをタップする
5. 「ホーム」タブをタップする
6. お気に入りに追加したコンテンツのお気に入りボタンをタップする
7. 「お気に入り」タブをタップする","・コンテンツはお気に入りリストから削除される
・削除されたコンテンツはお気に入りページからも削除される"
TEST_0024,Reset,Stop,ホームページ,コンテンツ切り替え - 次のコンテンツ,,『次のコンテンツ』ボタンによるコンテンツ切り替え,,"1. アプリを起動する
2. 「ホーム」タブをタップする
3. 『次のコンテンツ』ボタンをタップする",表示されるコンテンツは次のコンテンツに切り替わる
TEST_0025,Reset,Stop,ホームページ,コンテンツ切り替え - 前のコンテンツ,,『前のコンテンツ』ボタンによるコンテンツ切り替え,,"1. アプリを起動する
2. 「ホーム」タブをタップする
3. 『次のコンテンツ』ボタンをタップする
4. 『前のコンテンツ』ボタンをタップする",表示されるコンテンツは前のコンテンツに切り替わる
TEST_0027,Reset,Stop,ホームページ,レイアウト確認,,ホームページのレイアウト表示確認,,"1. アプリを起動する
2. 「ホーム」タブをタップする",レイアウトは仕様通りに設置する
TEST_0028,Reset,Stop,映画ページ,コンテンツ情報表示,,映画ページでのコンテンツ情報表示確認,,"1. アプリを起動する
2. 「映画」タブをタップする","コンテンツ情報は自動的に獲得され、表示する。
（コンテンツ名、背景画像、コンテンツプロバイダー...などの情報含め）"
TEST_0030,Reset,Stop,映画ページ,トップメニュー - スクロール,,映画ページのトップメニューのスクロール動作確認,,"1. アプリを起動する
2. 「映画」タブをタップする
3. トップメニューを左から右までスクロールする
4. トップメニューを右から左までスクロールする","・トップメニューはスクロールできる
・各タブの文字表示は正しく表示する"
TEST_0031,Reset,Stop,映画ページ,トップメニュー - タブ切り替え,,映画ページのトップメニューのタブ切り替え動作確認,,"1. アプリを起動する
2. 「映画」タブをタップする
3. トップメニューに表示されるすべてのタブボタンを順番にタップする",Mediahubはタップされたタブページを表示する
TEST_0032,Reset,Stop,映画ページ,検索ボタン,,映画ページの検索ボタン動作確認,,"1. アプリを起動する
2. トップメニューに表示される検索ボタンをタップする",Mediahubは検索ページを表示する
TEST_0033,Reset,Stop,映画ページ,設定ボタン,,映画ページの設定ボタン動作確認,,"1. アプリを起動する
2. トップメニューに表示される設定ボタンをタップする",Mediahubは設定ページを表示する
TEST_0034,Reset,Stop,映画ページ,コンテンツ情報 - 背景画像,,映画ページでのコンテンツ背景画像表示確認,,"1. アプリを起動する
2. 「映画」タブをタップする",コンテンツの背景画像は表示する
TEST_0035,Reset,Stop,映画ページ,コンテンツ情報 - コンテンツ名＆説明文,,映画ページでのコンテンツ名と説明文の表示確認,,"1. アプリを起動する
2. 「映画」タブをタップする",コンテンツ名と説明文は表示する
TEST_0036,Reset,Stop,映画ページ,コンテンツ情報 - コンテンツプロバイダー,,映画ページでのコンテンツプロバイダーアイコン表示確認,,"1. アプリを起動する
2. 「映画」タブをタップする",コンテンツプロバイダーアイコンは表示する
TEST_0037,Reset,Stop,映画ページ,コンテンツ情報 - コンテンツプロバイダー遷移,,映画ページでのプロバイダーアイコンタップ時のサイト遷移確認,,"1. アプリを起動する
2. 「映画」タブをタップする
3. コンテンツプロバイダーアイコンをタップする",Mediahubはタップしたコンテンツプロバイダーサイトへ遷移する
TEST_0038,Reset,Stop,映画ページ,コンテンツ情報 - お気に入り追加,,映画ページからのお気に入り追加確認,,"1. アプリを起動する
2. 「映画」タブをタップする
3. お気に入りボタンをタップする
4. 「お気に入り」タブをタップする","・コンテンツはお気に入りリストに追加される
・追加されたコンテンツはお気に入りページで確認できる"
TEST_0039,Reset,Stop,映画ページ,コンテンツ情報 - お気に入り削除,,映画ページからのお気に入り削除確認,,"1. アプリを起動する
2. 「映画」タブをタップする
3. お気に入りボタンをタップする
4. 「お気に入り」タブをタップする
5. 「映画」タブをタップする
6. お気に入りに追加したコンテンツのお気に入りボタンをタップする
7. 「お気に入り」タブをタップする","・コンテンツはお気に入りリストから削除される
・削除されたコンテンツはお気に入りページからも削除される"
TEST_0040,Reset,Stop,映画ページ,コンテンツ切り替え - 次のコンテンツ,,『次のコンテンツ』ボタンによるコンテンツ切り替え,,"1. アプリを起動する
2. 「映画」タブをタップする
3. 『次のコンテンツ』ボタンをタップする",表示されるコンテンツは次のコンテンツに切り替わる
TEST_0041,Reset,Stop,映画ページ,コンテンツ切り替え - 前のコンテンツ,,『前のコンテンツ』ボタンによるコンテンツ切り替え,,"1. アプリを起動する
2. 「映画」タブをタップする
3. 『次のコンテンツ』ボタンをタップする
4. 『前のコンテンツ』ボタンをタップする",表示されるコンテンツは前のコンテンツに切り替わる
TEST_0043,Reset,Stop,映画ページ,カテゴリメニュー - スクロール,,カテゴリメニューのスクロール動作確認,,"1. アプリを起動する
2. 「映画」タブをタップする
3. カテゴリメニューを左から右までスクロールする
4. カテゴリメニューを右から左までスクロールする","・カテゴリメニューはスクロールできる
・各タブの文字表示は正しく表示する
・全タブが既に表示されており、スクロールによる変化はない場合はパスとする"
TEST_0044,Reset,Stop,映画ページ,カテゴリメニュー - 切り替え,,カテゴリメニューのタブ切り替え動作確認,,"1. アプリを起動する
2. 「映画」タブをタップする
3. カテゴリメニューに表示されるすべてのタブボタンを順番にタップする",Mediahubはタップされたカテゴリボタンのコンテンツ情報を表示する
TEST_0045,Reset,Stop,映画ページ,ロールダウン,,映画ページでのロールダウンによるリスト表示確認,,"1. アプリを起動する
2. 「映画」タブをタップする
3. ロールダウンする",レコメントリストは表示する
TEST_0046,Reset,Stop,映画ページ,レコメント（暫定名称）リスト - お切り入り追加,,レコメンドリストからのコンテンツお気に入り追加,,"1. アプリを起動する
2. 「映画」タブをタップする
3. ロールダウンする
4. コンテンツのお気に入りボタンをタップする
5. 「お気に入り」タブをタップする","・コンテンツはお気に入りリストに追加される
・追加されたコンテンツはお気に入りページで確認できる"
TEST_0047,Reset,Stop,映画ページ,レコメント（暫定名称）リスト - お切り入り削除,,レコメンドリストからのコンテンツお気に入り削除,,"1. アプリを起動する
2. 「映画」タブをタップする
3. ロールダウンする
4. コンテンツのお気に入りボタンをタップする
5. 「お気に入り」タブをタップする
6. 「映画」タブをタップする
7. お気に入りに追加したコンテンツのお気に入りボタンをタップする
8. 「お気に入り」タブをタップする","・コンテンツはお気に入りリストから削除される
・削除されたコンテンツはお気に入りページからも削除される"
TEST_0048,Reset,Stop,映画ページ,レコメント（暫定名称）リスト - 詳細画面遷移,,レコメンドリストのコンテンツタップによる詳細画面遷移,,"1. アプリを起動する
2. 「映画」タブをタップする
3. ロールダウンする
4. コンテンツをタップする",Mediahubはタップされたコンテンツの詳細画面へ遷移する
TEST_0049,Reset,Stop,映画ページ,レイアウト確認,,映画ページのレイアウト表示確認,,"1. アプリを起動する
2. 「映画」タブをタップする",レイアウトは仕様通りに設置する
TEST_0050,Reset,Stop,TVシリーズページ,コンテンツ情報表示,,TVシリーズページでのコンテンツ情報表示確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする","コンテンツ情報は自動的に獲得され、表示する。
（コンテンツ名、背景画像、コンテンツプロバイダー...などの情報含め）"
TEST_0052,Reset,Stop,TVシリーズページ,トップメニュー - スクロール,,TVシリーズページのトップメニューのスクロール動作確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする
3. トップメニューを左から右までスクロールする
4. トップメニューを右から左までスクロールする","・トップメニューはスクロールできる
・各タブの文字表示は正しく表示する
・全タブが既に表示されており、スクロールによる変化はない場合はパスとする"
TEST_0053,Reset,Stop,TVシリーズページ,トップメニュー - タブ切り替え,,TVシリーズページのトップメニューのタブ切り替え動作確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする
3. トップメニューに表示されるすべてのタブボタンを順番にタップする",Mediahubはタップされたタブページを表示する
TEST_0054,Reset,Stop,TVシリーズページ,検索ボタン,,TVシリーズページの検索ボタン動作確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする
3. トップメニューに表示される検索ボタンをタップする",Mediahubは検索ページを表示する
TEST_0055,Reset,Stop,TVシリーズページ,設定ボタン,,TVシリーズページの設定ボタン動作確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする
3. トップメニューに表示される設定ボタンをタップする",Mediahubは設定ページを表示する
TEST_0056,Reset,Stop,TVシリーズページ,コンテンツ情報 - 背景画像,,TVシリーズページでのコンテンツ背景画像表示確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする",コンテンツの背景画像は表示する
TEST_0057,Reset,Stop,TVシリーズページ,コンテンツ情報 - コンテンツ名＆説明文,,TVシリーズページでのコンテンツ名と説明文の表示確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする",コンテンツ名と説明文は表示する
TEST_0058,Reset,Stop,TVシリーズページ,コンテンツ情報 - コンテンツプロバイダー,,TVシリーズページでのコンテンツプロバイダーアイコン表示確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする",コンテンツプロバイダーアイコンは表示する
TEST_0059,Reset,Stop,TVシリーズページ,コンテンツ情報 - コンテンツプロバイダー遷移,,TVシリーズページでのプロバイダーアイコンタップ時のサイト遷移確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする
3. コンテンツプロバイダーアイコンをタップする",Mediahubはタップしたコンテンツプロバイダーサイトへ遷移する
TEST_0060,Reset,Stop,TVシリーズページ,コンテンツ情報 - お気に入り追加,,TVシリーズページからのお気に入り追加確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする
3. お気に入りボタンをタップする
4. 「お気に入り」タブをタップする","・コンテンツはお気に入りリストに追加される
・追加されたコンテンツはお気に入りページで確認できる"
TEST_0061,Reset,Stop,TVシリーズページ,コンテンツ情報 - お気に入り削除,,TVシリーズページからのお気に入り削除確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする
3. お気に入りボタンをタップする
4. 「お気に入り」タブをタップする
5. 「テレビ」タブをタップする
6. お気に入りに追加したコンテンツのお気に入りボタンをタップする
7. 「お気に入り」タブをタップする","・コンテンツはお気に入りリストから削除される
・削除されたコンテンツはお気に入りページからも削除される"
TEST_0062,Reset,Stop,TVシリーズページ,コンテンツ切り替え - 次のコンテンツ,,『次のコンテンツ』ボタンによるコンテンツ切り替え,,"1. アプリを起動する
2. 「テレビ」タブをタップする
3. 『次のコンテンツ』ボタンをタップする",表示されるコンテンツは次のコンテンツに切り替わる
TEST_0063,Reset,Stop,TVシリーズページ,コンテンツ切り替え - 前のコンテンツ,,『前のコンテンツ』ボタンによるコンテンツ切り替え,,"1. アプリを起動する
2. 「テレビ」タブをタップする
3. 『次のコンテンツ』ボタンをタップする
4. 『前のコンテンツ』ボタンをタップする",表示されるコンテンツは前のコンテンツに切り替わる
TEST_0065,Reset,Stop,TVシリーズページ,カテゴリメニュー - スクロール,,カテゴリメニューのスクロール動作確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする
3. カテゴリメニューを左から右までスクロールする
4. カテゴリメニューを右から左までスクロールする","・カテゴリメニューはスクロールできる
・各タブの文字表示は正しく表示する"
TEST_0066,Reset,Stop,TVシリーズページ,カテゴリメニュー - 切り替え,,カテゴリメニューのタブ切り替え動作確認,,"1. アプリを起動する
2. 「テレビ」タブをタップする
3. カテゴリメニューに表示されるすべてのタブボタンを順番にタップする",Mediahubはタップされたカテゴリボタンのコンテンツ情報を表示する
